['2021', '05', '16', '16', '37', '52']#T18.4L56.0
['2021', '05', '17', '10', '40', '28']#T13.8L78.0
['2021', '05', '17', '10', '50', '28']#T14.0L77.0
['2021', '05', '17', '11', '00', '28']#T14.0L77.0
['2021', '05', '17', '11', '10', '28']#T14.0L77.0
['2021', '05', '17', '11', '20', '28']#T14.0L77.0
['2021', '05', '17', '11', '30', '28']#T14.6L74.0
['2021', '05', '17', '11', '40', '28']#T14.6L74.0
['2021', '05', '17', '11', '50', '28']#T15.0L73.0
['2021', '05', '17', '12', '00', '28']#T15.0L73.0
['2021', '05', '17', '12', '10', '28']#T15.7L69.0
['2021', '05', '17', '12', '20', '28']#T15.7L69.0
['2021', '05', '17', '12', '30', '28']#T16.3L69.0
['2021', '05', '17', '12', '40', '28']#T16.3L69.0
['2021', '05', '17', '12', '50', '28']#T16.5L67.0
['2021', '05', '17', '13', '00', '28']#T16.5L67.0
['2021', '05', '17', '13', '10', '28']#T17.1L64.0
['2021', '05', '17', '13', '20', '28']#T17.1L64.0
['2021', '05', '17', '13', '30', '29']#T17.0L63.0
['2021', '05', '17', '13', '40', '29']#T17.0L63.0
['2021', '05', '17', '13', '50', '29']#T16.6L63.0
['2021', '05', '17', '14', '00', '29']#T16.6L63.0
['2021', '05', '17', '14', '10', '29']#T17.4L59.0
['2021', '05', '17', '14', '20', '29']#T17.4L59.0
['2021', '05', '17', '14', '30', '29']#T18.0L60.0
['2021', '05', '17', '14', '40', '29']#T18.0L60.0
['2021', '05', '17', '14', '50', '29']#T18.4L60.0
['2021', '05', '17', '15', '00', '29']#T18.4L60.0
['2021', '05', '17', '15', '10', '29']#T17.9L56.0
['2021', '05', '17', '15', '20', '29']#T17.9L56.0
['2021', '05', '17', '15', '30', '29']#T17.8L58.0
['2021', '05', '17', '15', '50', '29']#T17.0L60.0
['2021', '05', '17', '16', '00', '29']#T17.0L60.0
['2021', '05', '17', '16', '10', '29']#T18.0L60.0
['2021', '05', '17', '16', '20', '29']#T18.0L60.0
['2021', '05', '17', '16', '30', '29']#T17.3L61.0
['2021', '05', '17', '16', '40', '29']#T17.3L61.0
['2021', '05', '17', '16', '50', '29']#T17.6L60.0
['2021', '05', '17', '17', '00', '29']#T17.6L60.0
['2021', '05', '17', '17', '10', '29']#T17.7L60.0
['2021', '05', '17', '17', '20', '29']#T17.7L60.0
['2021', '05', '17', '17', '30', '29']#T17.1L60.0
['2021', '05', '17', '17', '40', '29']#T17.1L60.0
['2021', '05', '17', '17', '50', '30']#T17.5L58.0
['2021', '05', '17', '18', '00', '30']#T17.5L58.0
['2021', '05', '17', '18', '10', '30']#T16.7L58.0
['2021', '05', '17', '18', '20', '30']#T16.7L58.0
['2021', '05', '17', '18', '30', '30']#T16.4L60.0
['2021', '05', '17', '18', '40', '30']#T16.4L60.0
['2021', '05', '17', '18', '50', '30']#T16.3L61.0
['2021', '05', '17', '19', '00', '30']#T16.3L61.0
['2021', '05', '17', '19', '10', '30']#T15.6L62.0
['2021', '05', '17', '19', '20', '30']#T15.6L62.0
['2021', '05', '17', '19', '30', '30']#T15.7L62.0
['2021', '05', '17', '19', '40', '30']#T15.7L62.0
['2021', '05', '17', '19', '50', '30']#T15.4L62.0
['2021', '05', '17', '20', '00', '30']#T15.4L62.0
['2021', '05', '17', '20', '10', '30']#T15.2L63.0
['2021', '05', '17', '20', '20', '30']#T15.2L63.0
['2021', '05', '17', '20', '30', '30']#T14.9L63.0
['2021', '05', '17', '20', '40', '30']#T14.9L63.0
['2021', '05', '17', '20', '50', '30']#T14.6L65.0
['2021', '05', '17', '21', '00', '30']#T14.6L65.0
['2021', '05', '17', '21', '10', '30']#T14.1L66.0
['2021', '05', '17', '21', '20', '30']#T14.1L66.0
['2021', '05', '17', '21', '30', '30']#T13.6L67.0
['2021', '05', '17', '21', '40', '30']#T13.6L67.0
['2021', '05', '17', '21', '50', '30']#T13.3L69.0
['2021', '05', '17', '22', '00', '30']#T13.3L69.0
['2021', '05', '17', '22', '10', '30']#T12.9L69.0
['2021', '05', '17', '22', '20', '30']#T12.9L69.0
['2021', '05', '17', '22', '30', '31']#T12.6L70.0
['2021', '05', '17', '22', '40', '31']#T12.6L70.0
['2021', '05', '17', '22', '50', '31']#T12.3L71.0
['2021', '05', '17', '23', '00', '31']#T12.3L71.0
['2021', '05', '17', '23', '10', '31']#T12.1L73.0
['2021', '05', '17', '23', '20', '31']#T12.1L73.0
['2021', '05', '17', '23', '30', '31']#T12.0L74.0
['2021', '05', '17', '23', '40', '31']#T12.0L74.0
['2021', '05', '17', '23', '50', '31']#T11.8L73.0
['2021', '05', '18', '00', '00', '31']#T11.8L73.0
['2021', '05', '18', '00', '10', '31']#T11.5L74.0
['2021', '05', '18', '00', '20', '31']#T11.5L74.0
['2021', '05', '18', '00', '30', '31']#T11.2L76.0
['2021', '05', '18', '00', '40', '31']#T11.2L76.0
['2021', '05', '18', '00', '50', '31']#T10.9L75.0
['2021', '05', '18', '01', '00', '31']#T10.9L75.0
['2021', '05', '18', '01', '10', '31']#T10.8L76.0
['2021', '05', '18', '01', '20', '31']#T10.8L76.0
['2021', '05', '18', '01', '30', '31']#T10.7L76.0
['2021', '05', '18', '01', '40', '31']#T10.7L76.0
['2021', '05', '18', '01', '50', '31']#T10.3L77.0
['2021', '05', '18', '02', '00', '31']#T10.3L77.0
['2021', '05', '18', '02', '10', '31']#T10.1L78.0
['2021', '05', '18', '02', '20', '31']#T10.1L78.0
['2021', '05', '18', '02', '30', '31']#T10.0L79.0
['2021', '05', '18', '02', '40', '31']#T10.0L79.0
['2021', '05', '18', '02', '50', '31']#T9.9L80.0
['2021', '05', '18', '03', '00', '31']#T9.9L80.0
['2021', '05', '18', '03', '10', '31']#T9.6L81.0
['2021', '05', '18', '03', '20', '31']#T9.6L81.0
['2021', '05', '18', '03', '30', '32']#T9.7L82.0
['2021', '05', '18', '03', '40', '32']#T9.7L82.0
['2021', '05', '18', '03', '50', '32']#T9.7L82.0
['2021', '05', '18', '04', '00', '32']#T9.7L82.0
['2021', '05', '18', '04', '10', '32']#T9.7L83.0
['2021', '05', '18', '04', '20', '32']#T9.7L83.0
['2021', '05', '18', '04', '30', '32']#T9.9L83.0
['2021', '05', '18', '04', '40', '32']#T9.9L83.0
['2021', '05', '18', '04', '50', '32']#T10.2L83.0
['2021', '05', '18', '05', '00', '32']#T10.2L83.0
['2021', '05', '18', '05', '10', '32']#T10.5L84.00001
['2021', '05', '18', '05', '20', '32']#T10.5L84.00001
['2021', '05', '18', '05', '30', '32']#T10.8L84.00001
['2021', '05', '18', '05', '40', '32']#T10.8L84.00001
['2021', '05', '18', '05', '50', '32']#T11.0L85.0
['2021', '05', '18', '06', '00', '32']#T11.0L85.0
['2021', '05', '18', '06', '10', '32']#T11.1L86.0
['2021', '05', '18', '06', '20', '32']#T11.1L86.0
['2021', '05', '18', '06', '30', '32']#T11.3L87.0
['2021', '05', '18', '06', '40', '32']#T11.3L87.0
['2021', '05', '18', '06', '50', '32']#T11.3L86.0
['2021', '05', '18', '07', '00', '32']#T11.3L86.0
['2021', '05', '18', '07', '10', '32']#T11.5L87.0
['2021', '05', '18', '07', '20', '32']#T11.5L87.0
['2021', '05', '18', '07', '30', '33']#T11.1L89.00001
['2021', '05', '18', '07', '40', '33']#T11.1L89.00001
['2021', '05', '18', '07', '50', '33']#T11.0L89.00001
['2021', '05', '18', '08', '00', '33']#T11.0L89.00001
['2021', '05', '18', '08', '10', '33']#T11.0L89.00001
['2021', '05', '18', '08', '20', '33']#T11.0L89.00001
['2021', '05', '18', '08', '30', '33']#T11.0L89.00001
['2021', '05', '18', '08', '40', '33']#T11.0L89.00001
['2021', '05', '18', '08', '50', '33']#T11.2L89.00001
['2021', '05', '18', '09', '00', '33']#T11.2L89.00001
['2021', '05', '18', '09', '10', '33']#T11.5L89.00001
['2021', '05', '18', '09', '20', '33']#T11.5L89.00001
['2021', '05', '18', '09', '30', '33']#T11.2L89.00001
['2021', '05', '18', '09', '40', '33']#T11.2L89.00001
['2021', '05', '18', '09', '50', '33']#T11.1L89.00001
['2021', '05', '18', '10', '00', '33']#T11.1L89.00001
['2021', '05', '18', '10', '10', '33']#T11.2L89.00001
['2021', '05', '18', '10', '20', '33']#T11.2L89.00001
['2021', '05', '18', '10', '30', '33']#T11.1L89.00001
['2021', '05', '18', '10', '40', '33']#T11.1L89.00001
['2021', '05', '18', '10', '50', '33']#T11.6L89.00001
['2021', '05', '18', '11', '00', '34']#T11.6L89.00001
['2021', '05', '18', '11', '10', '34']#T12.3L90.0
['2021', '05', '18', '11', '20', '33']#T12.3L90.0
['2021', '05', '18', '11', '30', '33']#T13.0L91.0
['2021', '05', '18', '11', '40', '33']#T13.0L91.0
['2021', '05', '18', '11', '50', '33']#T13.1L91.0
['2021', '05', '18', '12', '00', '33']#T13.1L91.0
['2021', '05', '18', '12', '10', '34']#T13.4L89.00001
['2021', '05', '18', '12', '20', '34']#T13.4L89.00001
['2021', '05', '18', '12', '30', '34']#T14.1L85.0
['2021', '05', '18', '12', '40', '34']#T14.1L85.0
['2021', '05', '18', '12', '50', '34']#T14.0L83.0
['2021', '05', '18', '13', '00', '34']#T14.0L83.0
['2021', '05', '18', '13', '10', '34']#T14.7L76.0
['2021', '05', '18', '13', '20', '34']#T14.7L76.0
['2021', '05', '18', '13', '30', '34']#T15.2L76.0
['2021', '05', '18', '13', '40', '34']#T15.2L76.0
['2021', '05', '18', '13', '50', '34']#T15.9L73.0
['2021', '05', '18', '14', '00', '34']#T15.9L73.0
['2021', '05', '18', '14', '10', '34']#T16.6L70.0
['2021', '05', '18', '14', '20', '34']#T16.6L70.0
['2021', '05', '18', '14', '30', '34']#T17.3L66.0
['2021', '05', '18', '14', '40', '34']#T17.3L66.0
['2021', '05', '18', '14', '50', '34']#T16.3L66.0
['2021', '05', '18', '15', '00', '34']#T16.3L66.0
['2021', '05', '18', '15', '10', '34']#T16.5L64.0
['2021', '05', '18', '15', '20', '34']#T16.5L64.0
['2021', '05', '18', '15', '30', '34']#T17.2L64.0
['2021', '05', '18', '15', '40', '34']#T17.2L64.0
['2021', '05', '18', '15', '50', '34']#T15.7L69.0
['2021', '05', '18', '16', '00', '34']#T15.7L69.0
['2021', '05', '18', '16', '10', '34']#T16.4L68.0
['2021', '05', '18', '16', '20', '34']#T16.4L68.0
['2021', '05', '18', '16', '30', '34']#T16.3L67.0
['2021', '05', '18', '16', '40', '34']#T16.3L67.0
['2021', '05', '18', '16', '50', '35']#T16.5L67.0
['2021', '05', '18', '17', '00', '35']#T16.5L67.0
['2021', '05', '18', '17', '10', '35']#T16.4L66.0
['2021', '05', '18', '17', '20', '35']#T16.4L66.0
['2021', '05', '18', '17', '30', '35']#T16.7L65.0
['2021', '05', '18', '17', '40', '35']#T16.7L65.0
['2021', '05', '18', '17', '50', '35']#T16.3L66.0
['2021', '05', '18', '18', '00', '35']#T16.3L66.0
['2021', '05', '18', '18', '10', '35']#T15.4L67.0
['2021', '05', '18', '18', '20', '35']#T15.4L67.0
['2021', '05', '18', '18', '30', '35']#T15.1L69.0
['2021', '05', '18', '18', '40', '35']#T15.1L69.0
['2021', '05', '18', '18', '50', '35']#T15.0L71.0
['2021', '05', '18', '19', '00', '35']#T15.0L71.0
['2021', '05', '18', '19', '10', '35']#T15.1L69.0
['2021', '05', '18', '19', '20', '35']#T15.1L69.0
['2021', '05', '18', '19', '30', '35']#T14.9L71.0
['2021', '05', '18', '19', '40', '35']#T14.9L71.0
['2021', '05', '18', '19', '50', '35']#T14.8L73.0
['2021', '05', '18', '20', '00', '35']#T14.8L73.0
['2021', '05', '18', '20', '10', '35']#T14.5L75.0
['2021', '05', '18', '20', '20', '35']#T14.5L75.0
['2021', '05', '18', '20', '30', '35']#T14.0L72.0
['2021', '05', '18', '20', '40', '35']#T14.0L72.0
['2021', '05', '18', '20', '50', '35']#T12.8L75.0
['2021', '05', '18', '21', '00', '35']#T12.8L75.0
['2021', '05', '18', '21', '10', '36']#T12.3L79.0
['2021', '05', '18', '21', '20', '36']#T12.3L79.0
['2021', '05', '18', '21', '30', '36']#T11.9L80.0
['2021', '05', '18', '21', '40', '36']#T11.9L80.0
['2021', '05', '18', '21', '50', '36']#T11.8L81.0
['2021', '05', '18', '22', '00', '36']#T11.8L81.0
['2021', '05', '18', '22', '10', '36']#T11.4L82.0
['2021', '05', '18', '22', '20', '36']#T11.4L82.0
['2021', '05', '18', '22', '30', '36']#T11.1L83.0
['2021', '05', '18', '22', '40', '36']#T11.1L83.0
['2021', '05', '18', '22', '50', '36']#T11.0L84.00001
['2021', '05', '18', '23', '00', '36']#T11.0L84.00001
['2021', '05', '18', '23', '10', '36']#T10.8L84.00001
['2021', '05', '18', '23', '20', '36']#T10.8L84.00001
['2021', '05', '18', '23', '30', '36']#T10.7L84.00001
['2021', '05', '18', '23', '40', '36']#T10.7L84.00001
['2021', '05', '18', '23', '50', '36']#T10.4L85.0
['2021', '05', '19', '00', '00', '36']#T10.4L85.0
['2021', '05', '19', '00', '10', '36']#T10.3L86.0
['2021', '05', '19', '00', '20', '36']#T10.3L86.0
['2021', '05', '19', '00', '30', '36']#T10.2L86.0
['2021', '05', '19', '00', '40', '36']#T10.2L86.0
['2021', '05', '19', '00', '50', '36']#T10.0L86.0
['2021', '05', '19', '01', '00', '36']#T10.0L86.0
['2021', '05', '19', '01', '10', '36']#T9.8L88.0
['2021', '05', '19', '01', '20', '36']#T9.8L88.0
['2021', '05', '19', '01', '30', '36']#T9.8L88.0
['2021', '05', '19', '01', '40', '36']#T9.8L88.0
['2021', '05', '19', '01', '50', '36']#T9.9L88.0
['2021', '05', '19', '02', '00', '36']#T9.9L88.0
['2021', '05', '19', '02', '10', '37']#T9.9L88.0
['2021', '05', '19', '02', '20', '37']#T9.9L88.0
['2021', '05', '19', '02', '30', '37']#T9.9L88.0
['2021', '05', '19', '02', '40', '37']#T9.9L88.0
['2021', '05', '19', '02', '50', '37']#T9.6L88.0
['2021', '05', '19', '03', '00', '37']#T9.6L88.0
['2021', '05', '19', '03', '10', '37']#T9.6L88.0
['2021', '05', '19', '03', '20', '37']#T9.6L88.0
['2021', '05', '19', '03', '30', '37']#T9.6L88.0
['2021', '05', '19', '03', '40', '37']#T9.6L88.0
['2021', '05', '19', '03', '50', '37']#T9.4L88.0
['2021', '05', '19', '04', '00', '37']#T9.4L88.0
['2021', '05', '19', '04', '10', '37']#T9.5L88.0
['2021', '05', '19', '04', '20', '37']#T9.5L88.0
['2021', '05', '19', '04', '30', '37']#T9.6L88.0
['2021', '05', '19', '04', '40', '37']#T9.6L88.0
['2021', '05', '19', '04', '50', '37']#T9.5L88.0
['2021', '05', '19', '05', '00', '37']#T9.5L88.0
['2021', '05', '19', '05', '10', '37']#T9.5L88.0
['2021', '05', '19', '05', '20', '37']#T9.5L88.0
['2021', '05', '19', '05', '30', '37']#T9.6L88.0
['2021', '05', '19', '05', '40', '37']#T9.6L88.0
['2021', '05', '19', '05', '50', '37']#T9.6L88.0
['2021', '05', '19', '06', '00', '37']#T9.6L88.0
['2021', '05', '19', '06', '10', '37']#T9.6L88.0
['2021', '05', '19', '06', '20', '37']#T9.6L88.0
['2021', '05', '19', '06', '30', '37']#T9.4L88.0
['2021', '05', '19', '06', '40', '37']#T9.4L88.0
['2021', '05', '19', '06', '50', '38']#T9.5L88.0
['2021', '05', '19', '07', '00', '38']#T9.5L88.0
['2021', '05', '19', '07', '10', '38']#T9.7L88.0
['2021', '05', '19', '07', '20', '38']#T9.7L88.0
['2021', '05', '19', '07', '30', '38']#T10.0L88.0
['2021', '05', '19', '07', '40', '38']#T10.0L88.0
['2021', '05', '19', '07', '50', '38']#T10.3L88.0
['2021', '05', '19', '08', '00', '38']#T10.3L88.0
['2021', '05', '19', '08', '10', '38']#T10.7L88.0
['2021', '05', '19', '08', '20', '38']#T10.7L88.0
['2021', '05', '19', '08', '30', '38']#T10.8L88.0
['2021', '05', '19', '08', '40', '38']#T10.8L88.0
['2021', '05', '19', '08', '50', '38']#T11.1L89.00001
['2021', '05', '19', '09', '00', '38']#T11.1L89.00001
['2021', '05', '19', '09', '10', '38']#T11.4L89.00001
['2021', '05', '19', '09', '20', '38']#T11.4L89.00001
['2021', '05', '19', '09', '30', '38']#T11.6L89.00001
['2021', '05', '19', '09', '40', '38']#T11.6L89.00001
['2021', '05', '19', '09', '50', '39']#T11.8L89.00001
['2021', '05', '19', '10', '00', '39']#T11.8L89.00001
['2021', '05', '19', '10', '10', '39']#T11.9L89.00001
['2021', '05', '19', '10', '20', '39']#T11.9L89.00001
['2021', '05', '19', '10', '30', '39']#T12.9L89.00001
['2021', '05', '19', '10', '40', '39']#T12.9L89.00001
['2021', '05', '19', '10', '50', '39']#T13.7L86.0
['2021', '05', '19', '11', '00', '39']#T13.7L86.0
['2021', '05', '19', '11', '10', '39']#T12.7L85.0
['2021', '05', '19', '11', '20', '38']#T12.7L85.0
['2021', '05', '19', '11', '30', '39']#T11.3L89.00001
['2021', '05', '19', '11', '40', '39']#T11.3L89.00001
['2021', '05', '19', '11', '50', '39']#T11.1L89.00001
['2021', '05', '19', '12', '00', '39']#T11.1L89.00001
['2021', '05', '19', '12', '10', '39']#T11.4L89.00001
['2021', '05', '19', '12', '20', '39']#T11.4L89.00001
['2021', '05', '19', '12', '30', '39']#T11.8L89.00001
['2021', '05', '19', '12', '40', '39']#T11.8L89.00001
['2021', '05', '19', '12', '50', '39']#T12.3L89.00001
['2021', '05', '19', '13', '00', '39']#T12.3L89.00001
['2021', '05', '19', '13', '10', '39']#T12.6L88.0
['2021', '05', '19', '13', '20', '39']#T12.6L88.0
['2021', '05', '19', '13', '30', '39']#T12.9L88.0
['2021', '05', '19', '13', '40', '39']#T12.9L88.0
['2021', '05', '19', '13', '50', '39']#T13.7L84.00001
['2021', '05', '19', '14', '00', '39']#T13.7L84.00001
['2021', '05', '19', '14', '10', '39']#T14.0L81.0
['2021', '05', '19', '14', '20', '39']#T14.0L81.0
['2021', '05', '19', '14', '30', '39']#T13.9L79.0
['2021', '05', '19', '14', '40', '39']#T13.9L79.0
['2021', '05', '19', '14', '50', '39']#T14.1L78.0
['2021', '05', '19', '15', '00', '39']#T14.1L78.0
['2021', '05', '19', '15', '10', '39']#T14.5L76.0
['2021', '05', '19', '15', '20', '39']#T14.5L76.0
['2021', '05', '19', '15', '30', '39']#T14.2L78.0
['2021', '05', '19', '15', '40', '39']#T14.2L78.0
['2021', '05', '19', '15', '50', '40']#T12.3L83.0
['2021', '05', '19', '16', '00', '40']#T12.3L83.0
['2021', '05', '19', '16', '10', '40']#T12.4L84.00001
['2021', '05', '19', '16', '20', '40']#T12.4L84.00001
['2021', '05', '19', '16', '30', '40']#T13.3L84.00001
['2021', '05', '19', '16', '40', '40']#T13.3L84.00001
['2021', '05', '19', '16', '50', '40']#T13.5L83.0
['2021', '05', '19', '17', '00', '40']#T13.5L83.0
['2021', '05', '19', '17', '10', '40']#T13.2L83.0
['2021', '05', '19', '17', '20', '40']#T13.2L83.0
['2021', '05', '19', '17', '30', '40']#T13.4L83.0
['2021', '05', '19', '17', '40', '40']#T13.4L83.0
['2021', '05', '19', '17', '50', '40']#T13.8L81.0
['2021', '05', '19', '18', '00', '40']#T13.8L81.0
['2021', '05', '19', '18', '10', '40']#T14.1L79.0
['2021', '05', '19', '18', '20', '40']#T14.1L79.0
['2021', '05', '19', '18', '30', '40']#T14.0L79.0
['2021', '05', '19', '18', '40', '40']#T14.0L79.0
['2021', '05', '19', '18', '50', '40']#T13.9L78.0
['2021', '05', '19', '19', '00', '40']#T13.9L78.0
['2021', '05', '19', '19', '10', '40']#T13.8L77.0
['2021', '05', '19', '19', '20', '40']#T13.8L77.0
['2021', '05', '19', '19', '30', '40']#T13.5L77.0
['2021', '05', '19', '19', '40', '40']#T13.5L77.0
['2021', '05', '19', '19', '50', '40']#T13.4L77.0
['2021', '05', '19', '20', '00', '40']#T13.4L77.0
['2021', '05', '19', '20', '10', '40']#T12.9L77.0
['2021', '05', '19', '20', '20', '40']#T12.9L77.0
['2021', '05', '19', '20', '30', '41']#T12.5L79.0
['2021', '05', '19', '20', '40', '41']#T12.5L79.0
['2021', '05', '19', '20', '50', '41']#T11.7L80.0
['2021', '05', '19', '21', '00', '41']#T11.7L80.0
['2021', '05', '19', '21', '10', '41']#T10.9L82.0
['2021', '05', '19', '21', '20', '41']#T10.9L82.0
['2021', '05', '19', '21', '30', '41']#T10.5L83.0
['2021', '05', '19', '21', '40', '41']#T10.5L83.0
['2021', '05', '19', '21', '50', '41']#T10.5L84.00001
['2021', '05', '19', '22', '00', '41']#T10.5L84.00001
['2021', '05', '19', '22', '10', '41']#T10.3L84.00001
['2021', '05', '19', '22', '20', '41']#T10.3L84.00001
['2021', '05', '19', '22', '30', '41']#T10.1L84.00001
['2021', '05', '19', '22', '40', '41']#T10.1L84.00001
['2021', '05', '19', '22', '50', '41']#T9.9L85.0
['2021', '05', '19', '23', '00', '41']#T9.9L85.0
['2021', '05', '19', '23', '10', '41']#T9.8L86.0
['2021', '05', '19', '23', '20', '41']#T9.8L86.0
['2021', '05', '19', '23', '30', '41']#T10.1L85.0
['2021', '05', '19', '23', '40', '41']#T10.1L85.0
['2021', '05', '19', '23', '50', '41']#T10.0L85.0
['2021', '05', '20', '00', '00', '41']#T10.0L85.0
['2021', '05', '20', '00', '10', '41']#T10.1L85.0
['2021', '05', '20', '00', '20', '41']#T10.1L85.0
